0.077;0.195;0.385;0.651;0.978;1.367;1.847;2.44;2.99;3.783;4.426;5.252;6.148;7.113;8.146;9.25;10.421;11.662
0.066;0.175;0.344;0.537;0.804;1.126;1.505;1.941;2.434;2.982;3.594;4.249;4.965;5.738;6.572;7.459;8.4;9.393
0.069;0.18;0.35;0.569;0.869;1.203;1.596;2.122;2.565;3.125;3.911;4.629;5.409;6.246;7.145;8.104;9.122;10.196
0.069;0.182;0.352;0.58;0.873;1.221;1.632;2.198;2.643;3.245;3.946;4.644;5.625;6.45;7.641;8.231;9.421;10.3
0.072;0.185;0.364;0.6;0.898;1.267;1.72;2.255;2.832;3.483;4.174;4.788;5.862;6.74;7.719;8.654;9.875;10.987
0.057;0.169;0.328;0.545;0.82;1.152;1.543;1.993;2.501;3.069;3.703;4.385;5.128;5.929;6.793;7.713;8.69;9.72
0.078;0.199;0.388;0.634;0.96;1.354;1.818;2.353;2.958;3.634;4.381;5.198;6.087;7.045;8.044;9.171;10.333;11.572
0.076;0.21;0.417;0.677;1.055;1.481;1.953;2.489;3.105;3.891;4.632;5.522;6.34;7.433;8.4;9.635;10.873;12.117
0.075;0.215;0.427;0.7;1.072;1.506;1.993;2.512;3.216;3.954;4.754;5.761;6.577;7.678;8.75;9.991;11.201;12.489
0.068;0.184;0.363;0.598;0.836;1.18;1.586;2.051;2.578;3.167;3.817;4.528;5.303;6.139;7.032;7.988;9.002;10.074
0.07;0.186;0.37;0.601;0.898;1.208;1.689;2.176;2.728;3.327;4.18;4.757;5.855;6.427;7.634;8.344;9.391;10.512
0.073;0.188;0.379;0.625;0.901;1.264;1.701;2.235;2.778;3.367;4.082;4.854;5.815;6.704;7.678;8.709;9.807;10.976
0.073;0.191;0.393;0.634;0.965;1.352;1.802;2.453;2.958;3.637;4.361;5.176;6.067;7.026;8.074;9.121;10.231;11.489
0.066;0.175;0.363;0.6;0.899;1.151;1.546;1.998;2.511;3.083;3.714;4.399;5.158;6.109;7.1;8.25;9.16;10.294
0.066;0.182;0.374;0.612;0.924;1.252;1.678;2.121;2.723;3.381;4.011;4.698;5.689;6.725;7.889;8.912;9.896;10.997
